Ticker,2019 MC,2020 MC,2021 MC
BMEB3,480597140.7042212,713140449.6452488,1172903643.009357
TRPL3,12973198808.314264,15108011435.483059,17659779989.28458
CEEB3,8929878174.125948,10058184484.558578,8653438813.860254
BDLL3,37422709.03396985,42877914.380504504,18703561.18811881
ENGI11,15824791286.308105,15034134410.615582,12875148133.42494
FRTA3,16108935.881681442,12466915.338168144,10205660.809159279
EVEN3,2856877630.4074183,2255202669.8497105,1345203644.2512157
EUCA3,4540038122.496127,1658255007.1544318,880560273.0310416
GUAR3,11060444583.940277,7127714911.839989,4917090485.716496
MGLU3,76599984385.42842,164303600525.26794,47580447614.54267
USIM3,11490935464.88257,18414284286.884884,18326421320.272472
BKBR3,4857028125.412008,2988049700.6679344,1639315402.9666033
MRFG3,5532181188.656746,8059432565.671342,14720116231.253647
CAMB3,289584423.23695546,239699813.82578558,208416230.17866427
MNPR3,41890592.53831707,49700702.20820189,45369640.067807205
ENEV3,13825810471.786758,19651701446.30236,17911212547.583546
TCNO3,8636894.244604317,13588713.00747995,10824907.425781464
APER3,437875860.0688151,470972048.2167209,510982344.7678041
POMO3,4324405226.3702965,2778774723.31756,2648699773.5849056
BBSE3,61666262033.67836,54614029617.455574,39849503266.45073
BPAC11,57336777405.28167,75629421404.03615,70106294894.41293
CGAS3,16898925834.085888,21620558624.252357,19937248145.61753
KEPL3,687609255.5421125,903183332.275075,1187938082.913644
ECOR3,11338621775.376755,9300452695.390627,5091945842.147708
BRIV3,802107087.9180908,813069903.5247803,668259537.4603271
ABCB4,3957724609.8055663,3164874174.5990753,3442160378.83968
HAPV3,48970497892.64952,58760374831.15869,40153886723.587845
CASN3,14290546263.620607,11447823821.855286,11073688216.303192
CRIV3,673577887.6461709,597445797.9479018,516473295.3349701
CBEE3,3193989047.8984375,3297700194.565925,3832582175.5076923
BRFS3,28412701728.183662,17790226094.571247,18177671649.333405
QUAL3,9464843127.361267,8973206371.478037,4691761071.501333
ESTR3,24064600.0,24064600.0,48129200.0
MMXM3,16544399.690628052,110296000.0,90832000.0
MEAL3,2397721036.918591,1201715013.727496,693626493.3779563
YDUQ3,13863613713.90954,9789333961.551453,6211443043.179066
EQPA3,6294136180.060892,6717558551.816541,11332530646.08534
FESA3,2419322367.750013,2351173311.443398,4316256207.37263
VIVR3,308265065.45295715,182039289.98533446,178628758.62068966
AMAR3,4008860079.3914795,2055748302.7267456,1147113585.6056213
TUPY3,3572444588.7842484,2961034098.796866,2876330998.9702744
DEXP3,246429606.67158726,683394308.0010114,964410558.2981305
SGPS3,614499998.0926514,389499998.09265137,245499992.37060547
PMAM3,1262575788.4494061,434023988.2525698,438798237.222317
RAPT3,3101353793.302732,3330961710.3644886,3771091708.84594
BRKM3,22375072052.976406,17891542495.375538,45550898609.79827
SHOW3,420778764.94023913,267278673.4162122,251120768.2004496
PEAB3,382486748.1878088,684995447.2790815,825246217.7850844
BMIN3,76804384.43703748,92489132.05032812,115576713.49336879
ETER3,243429509.82255295,720389740.9128247,1294631986.4203835
TEKA3,2359567.816091954,10612156.11785801,7698090.11251296
MSPA3,318253981.20375925,305523821.9556089,308706361.7676465
CCRO3,36426642646.78956,26852781276.70288,23411800308.22754
PRIO3,5577057074.076665,11840702954.79254,17434629513.941902
GGBR3,28769764123.14516,34676267747.7999,44225230210.047874
CARD3,481473885.6732319,606580777.1589432,537275355.245623
CEAB3,5451782330.716463,3973278092.949472,1895706749.3965335
DIRR3,1958671157.8995664,1808586059.3660495,1845441294.7148316
BRML3,15237746595.46099,8352917494.089921,7011388945.004398
ENBR3,11320389060.332785,10370068324.566462,11638776500.840542
BRGE11,1075200278.5258853,697679167.9719335,541138983.9728593
CIEL3,20718841021.409267,10086279298.63486,6160240748.880984
NEOE3,28491001027.305233,20771257838.992077,19494039229.486137
TECN3,256203384.70586032,92517886.96282198,165108843.6123293
VLID3,1314214005.2623994,715440937.2199733,665620785.4153452
EQTL3,21178620067.269485,22091817759.68139,22205688358.263393
BRSR3,7551996371.206132,5331346833.622621,4392718570.490567
BNBR3,7668086809.57893,6135175196.242246,6299937506.6796875
CEED3,6825489763.010017,3958784062.54581,3276235086.244808
RENT3,35124993677.68186,51470056737.55065,39866120278.7477
FRIO3,250511754.40963855,258725254.55421686,207760486.78374878
ARZZ3,6255384842.155451,6721354532.805216,7657200743.52295
EMBR3,14524101004.13198,6514865808.887064,18271068973.8461
GPAR3,3142051487.76655,2141365611.438545,3350921332.7719297
TPIS3,290279208.1729731,400207395.1179434,366099771.1561885
HBOR3,3001731167.2567277,1613677929.9776094,621007880.3567009
BPAN4,12040227256.638506,11234639025.00871,12870040206.211689
MYPK3,3194976524.2548404,2213214481.3956966,2338879598.5725017
SBSP3,39667219448.4375,30092794062.564396,27463432636.935497
RCSL3,145844163.99884388,861806396.6884483,471507560.2246239
NUTR3,5752530.0,28251314.0,32342002.0
PDTC3,254961843.10954064,511492680.6803673,549148585.1590106
TRIS3,2654145246.6643586,2183180989.3809004,1086577092.5247018
